Index,dns_ip,cont_ip,my_ip,dns_iso,content_iso,me_iso,cnd_count_km,me_count_km,dns_as,cont_as,cont_hst,dns_loc,content_loc,me_loc
01.01,109.69.8.51,192.229.220.106,196.52.10.11,ES,US,MX,8016,2040,"AS49835 Fundacio Privada per a la Xarxa Lliure, Oberta i Neutral, guifi.net","AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",vod.edgecast.hls.ttvnw.net,"[38.9852, -0.557]","[37.751, -97.822]","[19.4357, -99.1439]"
03.01,192.95.54.3,184.84.243.121,196.52.10.11,CA,US,MX,402,3664,AS16276 OVH SAS,AS20940 Akamai International B.V.,vod121-ttvnw.akamaized.net,"[45.504, -73.5747]","[42.3626, -71.0843]","[19.4357, -99.1439]"
04.01,208.67.222.222,8.254.242.8,196.52.10.11,US,US,MX,50,2987,"AS36692 OpenDNS, LLC","AS3356 Level 3 Communications, Inc.",vod.l3.hls.ttvnw.net,"[37.7697, -122.3933]","[37.386, -122.084]","[19.4357, -99.1439]"
05.01,213.79.48.153,192.229.220.106,196.52.10.11,IE,US,MX,6830,2040,AS34245 Magnet Networks Limited,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",vod.edgecast.hls.ttvnw.net,"[53.3389, -6.2595]","[37.751, -97.822]","[19.4357, -99.1439]"
06.01,37.235.1.174,192.229.220.106,196.52.10.11,AT,US,MX,8460,2040,AS51453 ANEXIA Internetdienstleistungs GmbH,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",vod.edgecast.hls.ttvnw.net,"[48.2, 16.3667]","[37.751, -97.822]","[19.4357, -99.1439]"
07.01,77.88.8.8,192.229.220.106,196.52.10.11,RU,US,MX,8166,2040,AS13238 YANDEX LLC,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",vod.edgecast.hls.ttvnw.net,"[59.8944, 30.2642]","[37.751, -97.822]","[19.4357, -99.1439]"
09.01,84.200.69.80,23.74.24.114,196.52.10.11,DE,NL,MX,335,9218,AS31400 Accelerated IT Services GmbH,AS20940 Akamai International B.V.,vod121-ttvnw.akamaized.net,"[51.2993, 9.491]","[52.35, 4.9167]","[19.4357, -99.1439]"
10.01,88.59.65.19,8.248.201.249,196.52.10.11,IT,US,MX,9936,2987,AS3269 Telecom Italia S.p.a.,"AS3356 Level 3 Communications, Inc.",vod.l3.hls.ttvnw.net,"[43.1479, 12.1097]","[37.386, -122.084]","[19.4357, -99.1439]"
11.01,91.239.100.100,192.229.220.106,196.52.10.11,DK,US,MX,7699,2040,AS198794 Thomas Steen Rasmussen,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",vod.edgecast.hls.ttvnw.net,"[55.7123, 12.0564]","[37.751, -97.822]","[19.4357, -99.1439]"
